"","date","dc","wday","month","year","week","summer"
"436",2017-03-11,0,"Sat","3",2017,"10","winter"
"437",2017-03-12,0,"Sun","3",2017,"11","winter"
"438",2017-03-13,1,"Mon","3",2017,"11","winter"
"439",2017-03-14,0,"Tue","3",2017,"11","winter"
"440",2017-03-15,0,"Wed","3",2017,"11","winter"
"441",2017-03-16,0,"Thu","3",2017,"11","winter"
"442",2017-03-17,1,"Fri","3",2017,"11","winter"
"443",2017-03-18,0,"Sat","3",2017,"11","winter"
"444",2017-03-19,0,"Sun","3",2017,"12","winter"
"445",2017-03-20,1,"Mon","3",2017,"12","winter"
"446",2017-03-21,0,"Tue","3",2017,"12","winter"
"447",2017-03-22,1,"Wed","3",2017,"12","winter"
"448",2017-03-23,0,"Thu","3",2017,"12","winter"
"449",2017-03-24,0,"Fri","3",2017,"12","winter"
"450",2017-03-25,0,"Sat","3",2017,"12","winter"
"451",2017-03-26,0,"Sun","3",2017,"13","winter"
"452",2017-03-27,1,"Mon","3",2017,"13","winter"
"453",2017-03-28,0,"Tue","3",2017,"13","winter"
"454",2017-03-29,0,"Wed","3",2017,"13","winter"
"455",2017-03-30,0,"Thu","3",2017,"13","winter"
"456",2017-03-31,1,"Fri","3",2017,"13","winter"
"457",2017-04-01,0,"Sat","4",2017,"13","winter"
"458",2017-04-02,0,"Sun","4",2017,"14","winter"
"459",2017-04-03,2,"Mon","4",2017,"14","winter"
"460",2017-04-04,0,"Tue","4",2017,"14","winter"
"461",2017-04-05,0,"Wed","4",2017,"14","winter"
"462",2017-04-06,0,"Thu","4",2017,"14","winter"
"463",2017-04-07,4,"Fri","4",2017,"14","winter"
"464",2017-04-08,1,"Sat","4",2017,"14","winter"
"465",2017-04-09,0,"Sun","4",2017,"15","winter"
"466",2017-04-10,1,"Mon","4",2017,"15","winter"
"467",2017-04-11,1,"Tue","4",2017,"15","winter"
"468",2017-04-12,0,"Wed","4",2017,"15","winter"
"469",2017-04-13,0,"Thu","4",2017,"15","winter"
"470",2017-04-14,0,"Fri","4",2017,"15","winter"
"471",2017-04-15,1,"Sat","4",2017,"15","winter"
"472",2017-04-16,0,"Sun","4",2017,"16","winter"
"473",2017-04-17,2,"Mon","4",2017,"16","winter"
"474",2017-04-18,0,"Tue","4",2017,"16","winter"
"475",2017-04-19,0,"Wed","4",2017,"16","winter"
"476",2017-04-20,0,"Thu","4",2017,"16","winter"
"477",2017-04-21,0,"Fri","4",2017,"16","winter"
"478",2017-04-22,0,"Sat","4",2017,"16","winter"
